stimulus_type,stimulus_name,face,music,odor,hedo_rt,hedo,emo_rt,emo,fam_rt,fam,compl_rt,compl,subject,hedo_scaled,hedo_zscore,emo_scaled,emo_zscore,fam_scaled,fam_zscore,compl_scaled,compl_zscore,version
music,M17,,M17,,2347.0,125.0,1196.0,257.0,1073.0,415.0,2479.0,279.0,S01-BCS,7.5,0.7194632424790839,5.140000000000001,0.2222117251309372,8.299999999999999,1.224749552507274,5.58,0.1971542465874947,1.0
odor,5,,,5.0,1529.0,-115.0,1541.0,244.0,1008.0,343.0,3758.0,348.0,S01-BCS,2.7,-1.0257270246521066,4.88,0.097330910599766,6.86,0.7580271047598488,6.959999999999999,0.9131354578789233,1.0
odor,6,,,6.0,,,1572.0,233.0,2102.0,419.0,2053.0,331.0,S01-BCS,,,4.66,-0.0083374709266095,8.379999999999999,1.250678577382131,6.62,0.7367342898795858,1.0
face,V04,V04,,,1008.0,122.0,1854.0,298.0,2599.0,19.0,990.0,387.0,S01-BCS,7.439999999999999,0.697648364139944,5.96,0.6160666017292462,0.38,-1.3422239101035645,7.74,1.3178204903479915,1.0
face,V14,V14,,,2597.0,81.0,4549.0,20.0,2270.0,6.0,3201.0,279.0,S01-BCS,6.62,0.3995116935050323,0.4,-2.0544615859373367,0.12,-1.4264932409468496,5.58,0.1971542465874947,1.0
music,M07,,M07,,1113.0,238.0,1423.0,361.0,2956.0,54.0,2630.0,186.0,S01-BCS,9.76,1.5411569932533526,7.22,1.2212582413803064,1.08,-1.1153449424485662,3.72,-0.7678639077618218,1.0
music,M15,,M15,,1357.0,46.0,898.0,225.0,1292.0,60.0,2452.0,380.0,S01-BCS,5.92,0.1450047795484003,4.5,-0.0851872029457917,1.2,-1.0764514051362808,7.6,1.2451847152894409,1.0
music,M10,,M10,,2187.0,111.0,672.0,357.0,2342.0,2.0,2554.0,307.0,S01-BCS,7.22,0.6176604768964311,7.14,1.1828333753707152,0.04,-1.4524222658217063,6.14,0.4876973468216976,1.0
odor,2,,,2.0,1898.0,221.0,4386.0,288.0,,,2963.0,317.0,S01-BCS,9.42,1.41753934933156,5.76,0.5200044367052684,,,6.34,0.5914627397624844,1.0
face,V05,V05,,,1106.0,-90.0,3328.0,13.0,3564.0,290.0,3719.0,272.0,S01-BCS,3.2,-0.8439363718259408,0.26,-2.121705101454121,5.8,0.4144675251679942,5.44,0.124518471528944,1.0
odor,9,,,9.0,1702.0,-249.0,4743.0,336.0,3539.0,105.0,3061.0,311.0,S01-BCS,0.02,-2.0001249238003544,6.720000000000001,0.981102828820362,2.1,-0.78474987529414,6.22,0.5292035039980123,1.0
face,V18,V18,,,1949.0,-163.0,1949.0,18.0,2046.0,3.0,2173.0,361.0,S01-BCS,1.7399999999999998,-1.3747650780783447,0.36,-2.0736740189421323,0.06,-1.4459400096029924,7.22,1.048030468701946,1.0
odor,16,,,16.0,3528.0,39.0,4190.0,247.0,,,4756.0,288.0,S01-BCS,5.779999999999999,0.0941033967570739,4.94,0.1261495601069594,,,5.76,0.2905431002342029,1.0
music,M14,,M14,,995.0,-78.0,3912.0,10.0,1880.0,0.0,3561.0,216.0,S01-BCS,3.4399999999999995,-0.7566768584693814,0.2,-2.1505237509613147,0.0,-1.465386778259135,4.32,-0.4565677289394616,1.0
odor,17,,,17.0,1228.0,154.0,3159.0,327.0,1803.0,402.0,4139.0,328.0,S01-BCS,8.08,0.930340399757436,6.54,0.8946468802987819,8.040000000000001,1.1404802216639889,6.5600000000000005,0.7056046719973498,1.0
music,M02,,M02,,2574.0,188.0,1378.0,241.0,1371.0,353.0,3609.0,354.0,S01-BCS,8.76,1.1775756876010213,4.82,0.0685122610925727,7.06,0.8228496669469912,7.08,0.9753946936433951,1.0
face,V03,V03,,,1467.0,86.0,1440.0,243.0,1348.0,382.0,2555.0,169.0,S01-BCS,6.720000000000001,0.4358698240702654,4.859999999999999,0.0877246940973683,7.640000000000001,1.0108350972897042,3.3800000000000003,-0.9442650757611591,1.0
music,M18,,M18,,2436.0,52.0,1775.0,192.0,931.0,376.0,2265.0,64.0,S01-BCS,6.04,0.1886345362266801,3.84,-0.4021923475249185,7.52,0.9719415599774188,1.28,-2.03380170163942,1.0
music,M04,,M04,,2578.0,163.0,1668.0,235.0,1166.0,402.0,4781.0,288.0,S01-BCS,8.26,0.9957850347748556,4.699999999999999,0.010874962078186,8.040000000000001,1.1404802216639889,5.76,0.2905431002342029,1.0
music,M13,,M13,,2308.0,79.0,1051.0,223.0,1413.0,422.0,3280.0,414.0,S01-BCS,6.58,0.384968441278939,4.46,-0.1043996359505873,8.44,1.2701253460382738,8.28,1.5979870512881158,1.0
odor,15,,,15.0,2187.0,203.0,3840.0,258.0,1845.0,422.0,2060.0,66.0,S01-BCS,9.06,1.2866500792967208,5.16,0.231817941633335,8.44,1.2701253460382738,1.32,-2.0130486230512625,1.0
music,M06,,M06,,3687.0,171.0,1388.0,350.0,3473.0,323.0,,,S01-BCS,8.42,1.0539580436792286,7.0,1.1155898598539309,6.46,0.628381980385564,,,1.0
odor,13,,,13.0,1940.0,-208.0,3684.0,258.0,2428.0,363.0,3284.0,133.0,S01-BCS,0.8400000000000001,-1.7019882531654429,5.16,0.231817941633335,7.26,0.8876722291341336,2.66,-1.3178204903479915,1.0
odor,4,,,4.0,1898.0,-14.0,1459.0,256.0,2801.0,302.0,720.0,386.0,S01-BCS,4.72,-0.2912927872343972,5.12,0.2126055086285394,6.04,0.492254599792565,7.720000000000001,1.3074439510539129,1.0
music,M05,,M05,,1693.0,145.0,2906.0,12.0,3357.0,209.0,3778.0,223.0,S01-BCS,7.9,0.8648957647400164,0.24,-2.131311317956519,4.18,-0.1105952285478591,4.46,-0.3839319538809109,1.0
face,V02,V02,,,2035.0,207.0,2057.0,300.0,3088.0,331.0,1428.0,110.0,S01-BCS,9.14,1.3157365837489072,6.0,0.6352790347340418,6.62,0.680240030135278,2.2,-1.556480894111801,1.0
face,V11,V11,,,3022.0,0.0,4377.0,163.0,4710.0,152.0,4307.0,334.0,S03-CBS,5.0,-0.1999811842502778,3.26,-0.8506034283806153,3.04,-0.6928045914639339,6.680000000000001,0.6135590999876067,1.0
music,M15,,M15,,2618.0,44.0,3537.0,222.0,3119.0,222.0,4833.0,209.0,S03-CBS,5.88,0.140176453730501,4.44,-0.237289370032383,4.44,-0.166210648761374,4.18,-0.4950689355494101,1.0
odor,1,,,1.0,3085.0,22.0,4203.0,49.0,4129.0,210.0,2710.0,172.0,S03-CBS,5.44,-0.0299023652598883,0.98,-2.035650930951776,4.2,-0.2564838960818129,3.4399999999999995,-0.8232228340683672,1.0
music,M09,,M09,,3387.0,159.0,3739.0,346.0,2784.0,327.0,3056.0,295.0,S03-CBS,8.18,1.0292248257257186,6.92,1.0517096678520372,6.54,0.6236802652924658,5.9,0.2676671529000574,1.0
odor,14,,,14.0,1508.0,-101.0,3562.0,212.0,2272.0,187.0,4178.0,298.0,S03-CBS,2.98,-0.9807975805243384,4.24,-0.3412409053456428,3.74,-0.429507620112654,5.96,0.2942742257529458,1.0
music,M03,,M03,,3257.0,-13.0,3197.0,108.0,4404.0,198.0,3907.0,85.0,S03-CBS,4.74,-0.3004823045627806,2.16,-1.4223368726035437,3.96,-0.3467571434022517,1.7000000000000002,-1.594827946802131,1.0
odor,7,,,7.0,2832.0,70.0,2036.0,105.0,,,,,S03-CBS,6.4,0.3411786943555068,2.1,-1.4535223331975216,,,,,1.0
music,M10,,M10,,2195.0,112.0,3101.0,288.0,2817.0,273.0,1501.0,205.0,S03-CBS,7.24,0.6658746215189776,5.76,0.4487907630351309,5.460000000000001,0.217450652350491,4.1,-0.5305450326865947,1.0
music,M16,,M16,,677.0,136.0,3713.0,303.0,1824.0,269.0,1313.0,381.0,S03-CBS,7.720000000000001,0.8514151513266751,6.06,0.6047180660050204,5.380000000000001,0.1873595699103447,7.62,1.030403241349525,1.0
music,M01,,M01,,4616.0,-203.0,,,2050.0,220.0,3648.0,212.0,S03-CBS,0.94,-1.7693448322070533,,,4.4,-0.1812561899814471,4.24,-0.4684618626965218,1.0
music,M04,,M04,,1033.0,58.0,1571.0,335.0,1128.0,352.0,2265.0,401.0,S03-CBS,6.16,0.248408429451658,6.7,0.9373629790074516,7.039999999999999,0.8117495305433801,8.02,1.2077837270354477,1.0
face,V03,V03,,,4740.0,121.0,2548.0,202.0,2093.0,285.0,3498.0,235.0,S03-CBS,7.42,0.7354523201968641,4.04,-0.4451924406589024,5.699999999999999,0.3077238996709298,4.699999999999999,-0.2644743041577106,1.0
music,M18,,M18,,3322.0,126.0,1622.0,301.0,2941.0,240.0,3230.0,303.0,S03-CBS,7.52,0.7741065972401345,6.02,0.5839277589423685,4.8,-0.0308007777807157,6.06,0.3386193471744265,1.0
music,M13,,M13,,2047.0,-192.0,2793.0,194.0,2411.0,71.0,4557.0,367.0,S03-CBS,1.16,-1.6843054227118586,3.88,-0.5283536689095102,1.42,-1.302149010876896,7.34,0.9062369013693792,1.0
face,V06,V06,,,2779.0,-152.0,2939.0,124.0,2319.0,71.0,1990.0,68.0,S03-CBS,1.96,-1.3750712063656958,2.48,-1.256014416102328,1.42,-1.302149010876896,1.36,-1.7456013596351652,1.0
odor,11,,,11.0,2764.0,190.0,2605.0,394.0,1227.0,487.0,3101.0,368.0,S03-CBS,8.8,1.2688813433939945,7.880000000000001,1.5506770373556835,9.74,1.827323562898317,7.359999999999999,0.9151059256536752,1.0
face,V18,V18,,,,,3036.0,303.0,2288.0,345.0,2744.0,333.0,S03-CBS,,,6.06,0.6047180660050204,6.9,0.759090136273124,6.66,0.6046900757033106,1.0
