subjects,music,face,odor
S29-SBC,-0.1920453098673856,-0.1723738414006179,-0.01223912013110118
S17-CSB,0.042353244078269826,0.18955973223480949,-0.15599426991862417
S18b-SBC,-0.1603913242686228,0.09462504042777879,-0.0566123754292583
S03-BSC,0.21595005149330587,0.040100411946446965,0.10125608590917386
S25-BCS,-0.06989766378640624,-0.04654007090427487,0.03942030825471654
S17-BCS,-0.06088691523198924,0.06938276386901099,0.010952201336686293
S01-BCS,0.0526519052523172,-0.21844628995493812,0.03526990497672091
S24-SCB,0.18728279212938745,-0.06018280123583934,0.1955122685860507
S11-SBC,0.12936860424555852,0.4957518022657055,0.0556557814573706
S01-BSC,0.07358053363418836,-0.10516154032282443,-0.003997427532632675
S30-SCB,-0.2675077239958805,0.1708290422245108,-0.21381186301367708
S12-CBS,-0.17469104016477857,0.29729033980608693,-0.07009746647438797
S31-CSB,-0.2529771488987555,-0.014674647645764849,0.13108537499736003
S23-SBC,0.15254891864057674,0.05766879074826887,0.0714516953575178
S11b-SBC,0.09061655371758678,0.1446961894953656,0.2866899452283036
S13-BCS,-0.17068932261652794,-0.051744111639872,-0.03127019924720721
S05-BCS,0.05084963954685891,0.2826982492276004,0.03449837193058613
S20-SCB,-0.2385734537605442,-0.3900366874269078,-0.09065717523181911
S14-CBS,0.04968784202864238,-0.0826627196258204,-0.09574483687031488
S12-SCB,-0.01081220243221206,-0.28832539819232156,0.10219230063262563
S04-SCB,-0.06217816683831102,0.051425629249851376,0.21754825591961058
S07-BSC,0.019888009309391833,0.10747844084401273,0.025964833979737405
S07-BCS,-0.18136182413079513,-0.09025944931105936,0.25370449535035045
S15-SBC,-0.15540105703668478,-0.09783728115345006,-0.21797111623196205
S19-BCS,-0.14829117620983423,0.14354683003669844,-0.22270259910278445
S26-BSC,0.12784036074120317,-0.21675891542672748,0.21256048568719701
S08-CSB,0.047962403521212,0.017767477937914247,0.11259264514582437
S19-CBS,0.16510041194644695,-0.07388813814621949,0.04799022822423739
S16-CSB,0.05959583007278789,0.018667524982350917,-0.23640826779548066
S08-BSC,-0.2547631307929969,0.05934603501544799,0.1501163138080104
S18-SBC,-0.20267923801509546,-0.002960483999296159,-0.07498554038804463
S02-CSB,-0.2524296845030251,-0.20647486687549838,0.23302633804252793
S16-BSC,0.21366971473180976,-0.3435045734663421,0.09600273542080731
S21-CBS,0.056381540954780734,0.11185480849514619,-0.10725332885014127
S27-CBS,-0.3502381287862978,0.001158450260594149,-0.10053537279997317
S13-SCB,0.04531410916580845,0.21908991485168217,0.0056737681108334735
S28-CSB,-0.26247023289223265,-0.2459934355355844,0.22327567008882185
S15-CBS,-0.19770884447473483,-0.10781410916580844,0.29510041640096374
S03-CBS,0.07601699279093717,-0.2821469968024861,-0.22492764121808853
S09-CBS,0.040293511843460354,0.03630044417636567,-0.2191271780938142
S21b-CBS,-0.03745655842587749,-0.21067198764160658,-0.20199687367122723
S06-CSB,0.009911185562861054,-0.13594232749742535,0.07808381166837336
S10-CSB,-0.1854926952416416,-0.11970652692806207,-0.12017299064326951
S33-CBS,-0.010169273368556341,0.06694129763130793,0.13113894570689097
S23-SCB,-0.13207182881188362,0.012421960507160596,-0.2040975473602546
S20b-SCB,-0.21459835221421217,-0.046990666334883344,-0.22479881668130838
S22-CSB,0.2180238176386985,0.07221936148300721,0.1479572711938958
S10-BCS,-0.3317242717818948,0.040679711637487126,0.16475518883914458
