subjects,music,face,odor,allmod,distractor,miss,w,ww,www,WWW-R,W-R
S01-BCS,0.0526519052523172,-0.2184462899549381,0.0352699049767209,-0.043508159908633326,9.0,0.0,4.0,3.0,2.0,0.08928571428571429,0.16071428571428573
S01-BSC,0.0735805336341883,-0.1051615403228244,-0.0039974275326326,-0.011859478073756235,9.0,0.0,4.0,2.0,3.0,0.125,0.16071428571428573
S02-CSB,-0.2524296845030251,-0.2064748668754983,0.2330263380425279,-0.07529273777866517,9.0,2.0,0.0,4.0,3.0,0.125,0.017857142857142856
S03-BSC,0.2159500514933058,0.0401004119464469,0.1012560859091738,0.11910218311630884,9.0,0.0,2.0,0.0,7.0,0.26785714285714285,0.08928571428571429
S03-CBS,0.0760169927909371,-0.2821469968024861,-0.2249276412180885,-0.1436858817432125,9.0,2.0,5.0,1.0,1.0,0.05357142857142857,0.19642857142857142
S04-SCB,-0.062178166838311,0.0514256292498513,0.2175482559196105,0.0689319061103836,9.0,1.0,5.0,0.0,3.0,0.125,0.19642857142857142
S05-BCS,0.0508496395468589,0.2826982492276004,0.0344983719305861,0.12268208690168181,9.0,1.0,3.0,4.0,1.0,0.05357142857142857,0.125
S06-CSB,0.009911185562861,-0.1359423274974253,0.0780838116683733,-0.015982443422063664,9.0,0.0,2.0,0.0,7.0,0.26785714285714285,0.08928571428571429
S07-BCS,-0.1813618241307951,-0.0902594493110593,0.2537044953503504,-0.005972259363834669,9.0,0.0,2.0,1.0,6.0,0.23214285714285715,0.08928571428571429
S07-BSC,0.0198880093093918,0.1074784408440127,0.0259648339797374,0.05111042804438063,9.0,0.0,1.0,3.0,5.0,0.19642857142857142,0.05357142857142857
S08-BSC,-0.2547631307929969,0.0593460350154479,0.1501163138080104,-0.015100260656512862,8.0,1.0,1.0,1.0,4.0,0.16071428571428573,0.05357142857142857
S08-CSB,0.047962403521212,0.0177674779379142,0.1125926451458243,0.05944084220165016,9.0,0.0,1.0,2.0,6.0,0.23214285714285715,0.05357142857142857
S09-CBS,0.0402935118434603,0.0363004441763656,-0.2191271780938142,-0.047511074024662765,9.0,0.0,2.0,4.0,3.0,0.125,0.08928571428571429
S10-BCS,-0.3317242717818948,0.0406797116374871,0.1647551888391445,-0.04209645710175439,9.0,0.0,5.0,3.0,1.0,0.05357142857142857,0.19642857142857142
S10-CSB,-0.1854926952416416,-0.119706526928062,-0.1201729906432695,-0.14179073760432437,9.0,2.0,2.0,0.0,5.0,0.19642857142857142,0.08928571428571429
S11-SBC,0.1293686042455585,0.4957518022657055,0.0556557814573706,0.22692539598954486,9.0,0.0,2.0,0.0,7.0,0.26785714285714285,0.08928571428571429
S11b-SBC,0.0906165537175867,0.1446961894953656,0.2866899452283036,0.17400089614708528,9.0,0.0,1.0,5.0,3.0,0.125,0.05357142857142857
S12-CBS,-0.1746910401647785,0.2972903398060869,-0.0700974664743879,0.01750061105564016,9.0,0.0,0.0,1.0,8.0,0.30357142857142855,0.017857142857142856
S12-SCB,-0.010812202432212,-0.2883253981923215,0.1021923006326256,-0.06564843333063597,9.0,0.0,4.0,4.0,1.0,0.05357142857142857,0.16071428571428573
S13-BCS,-0.1706893226165279,-0.051744111639872,-0.0312701992472072,-0.08456787783453569,9.0,0.0,0.0,0.0,9.0,0.3392857142857143,0.017857142857142856
S13-SCB,0.0453141091658084,0.2190899148516821,0.0056737681108334,0.0900259307094413,9.0,1.0,6.0,1.0,1.0,0.05357142857142857,0.23214285714285715
S14-CBS,0.0496878420286423,-0.0826627196258204,-0.0957448368703148,-0.042906571489164304,9.0,0.0,2.0,0.0,7.0,0.26785714285714285,0.08928571428571429
S15-CBS,-0.1977088444747348,-0.1078141091658084,0.2951004164009637,-0.0034741790798598396,9.0,0.0,3.0,3.0,3.0,0.125,0.125
S15-SBC,-0.1554010570366847,-0.09783728115345,-0.217971116231962,-0.1570698181406989,9.0,1.0,0.0,2.0,6.0,0.23214285714285715,0.017857142857142856
S16-BSC,0.2136697147318097,-0.3435045734663421,0.0960027354208073,-0.011277374437908364,9.0,0.0,2.0,2.0,5.0,0.19642857142857142,0.08928571428571429
S16-CSB,0.0595958300727878,0.0186675249823509,-0.2364082677954806,-0.05271497091344731,9.0,1.0,5.0,3.0,0.0,0.017857142857142856,0.19642857142857142
S17-BCS,-0.0608869152319892,0.0693827638690109,0.0109522013366862,0.006482683324569302,9.0,2.0,2.0,1.0,4.0,0.16071428571428573,0.08928571428571429
S17-CSB,0.0423532440782698,0.1895597322348094,-0.1559942699186241,0.02530623546481836,9.0,2.0,2.0,4.0,1.0,0.05357142857142857,0.08928571428571429
S18-SBC,-0.2026792380150954,-0.0029604839992961,-0.0749855403880446,-0.09354175413414538,9.0,0.0,3.0,0.0,6.0,0.23214285714285715,0.125
S18b-SBC,-0.1603913242686228,0.0946250404277787,-0.0566123754292583,-0.04079288642336746,9.0,2.0,3.0,1.0,3.0,0.125,0.125
S19-BCS,-0.1482911762098342,0.1435468300366984,-0.2227025991027844,-0.07581564842530672,9.0,0.0,4.0,0.0,5.0,0.19642857142857142,0.16071428571428573
S19-CBS,0.1651004119464469,-0.0738881381462194,0.0479902282242373,0.04640083400815492,9.0,1.0,2.0,4.0,2.0,0.08928571428571429,0.08928571428571429
S20-SCB,-0.2385734537605442,-0.3900366874269078,-0.0906571752318191,-0.23975577213975705,9.0,0.0,3.0,2.0,4.0,0.16071428571428573,0.125
S20b-SCB,-0.2145983522142121,-0.0469906663348833,-0.2247988166813083,-0.16212927841013455,9.0,0.0,2.0,3.0,4.0,0.16071428571428573,0.08928571428571429
S21-CBS,0.0563815409547807,0.1118548084951461,-0.1072533288501412,0.020327673533261866,9.0,0.0,7.0,2.0,0.0,0.017857142857142856,0.26785714285714285
S21b-CBS,-0.0374565584258774,-0.2106719876416065,-0.2019968736712272,-0.15004180657957036,9.0,3.0,4.0,0.0,2.0,0.08928571428571429,0.16071428571428573
S22-CSB,0.2180238176386985,0.0722193614830072,0.1479572711938958,0.14606681677186717,9.0,0.0,1.0,2.0,6.0,0.23214285714285715,0.05357142857142857
S23-SBC,0.1525489186405767,0.0576687907482688,0.0714516953575178,0.09388980158212111,9.0,0.0,1.0,4.0,4.0,0.16071428571428573,0.05357142857142857
S23-SCB,-0.1320718288118836,0.0124219605071605,-0.2040975473602546,-0.10791580522165922,9.0,0.0,0.0,0.0,9.0,0.3392857142857143,0.017857142857142856
S24-SCB,0.1872827921293874,-0.0601828012358393,0.1955122685860507,0.10753741982653293,9.0,0.0,4.0,2.0,3.0,0.125,0.16071428571428573
S25-BCS,-0.0698976637864062,-0.0465400709042748,0.0394203082547165,-0.025672475478654835,9.0,2.0,1.0,1.0,5.0,0.19642857142857142,0.05357142857142857
S26-BSC,0.1278403607412031,-0.2167589154267274,0.212560485687197,0.04121397700055756,9.0,0.0,0.0,0.0,9.0,0.3392857142857143,0.017857142857142856
S27-CBS,-0.3502381287862978,0.0011584502605941,-0.1005353727999731,-0.1498716837752256,9.0,0.0,5.0,1.0,3.0,0.125,0.19642857142857142
S28-CSB,-0.2624702328922326,-0.2459934355355844,0.2232756700888218,-0.0950626661129984,9.0,2.0,1.0,1.0,5.0,0.19642857142857142,0.05357142857142857
S29-SBC,-0.1920453098673856,-0.1723738414006179,-0.0122391201311011,-0.12555275713303485,9.0,1.0,6.0,1.0,1.0,0.05357142857142857,0.23214285714285715
S30-SCB,-0.2675077239958805,0.1708290422245108,-0.213811863013677,-0.10349684826168222,9.0,1.0,6.0,0.0,2.0,0.08928571428571429,0.23214285714285715
S31-CSB,-0.2529771488987555,-0.0146746476457648,0.13108537499736,-0.045522140515720094,9.0,1.0,2.0,2.0,4.0,0.16071428571428573,0.08928571428571429
S33-CBS,-0.0101692733685563,0.0669412976313079,0.1311389457068909,0.06263698998988083,9.0,0.0,1.0,2.0,6.0,0.23214285714285715,0.05357142857142857
